"STATION","DATE","TAVG"
"USW00013904","2014-01-05","52"
"USW00013904","2014-01-06","31"
"USW00013904","2014-01-07","29"
"USW00013904","2014-01-08","44"
"USW00013904","2014-01-09","55"
"USW00013904","2014-01-10","65"
"USW00013904","2014-01-11","60"
"USW00013904","2014-01-12","50"
"USW00013904","2014-01-13","63"
"USW00013904","2014-01-14","50"
"USW00013904","2014-01-15","53"
"USW00013904","2014-01-16","49"
"USW00013904","2014-01-17","50"
"USW00013904","2014-01-18","44"
"USW00013904","2014-01-19","50"
"USW00013904","2014-01-20","54"
"USW00013904","2014-01-21","58"
"USW00013904","2014-01-22","45"
"USW00013904","2014-01-23","45"
"USW00013904","2014-01-24","30"
"USW00013904","2014-01-25","37"
"USW00013904","2014-01-26","54"
"USW00013904","2014-01-27","49"
"USW00013904","2014-01-28","33"
"USW00013904","2014-01-29","33"
"USW00013904","2014-01-30","41"
"USW00013904","2014-01-31","62"
"USW00013904","2014-02-01","69"
"USW00013904","2014-02-02","49"
"USW00013904","2014-02-03","37"
"USW00013904","2014-02-04","46"
"USW00013904","2014-02-05","42"
"USW00013904","2014-02-06","30"
"USW00013904","2014-02-07","30"
"USW00013904","2014-02-08","41"
"USW00013904","2014-02-09","51"
"USW00013904","2014-02-10","47"
"USW00013904","2014-02-11","35"
"USW00013904","2014-02-12","39"
"USW00013904","2014-02-13","42"
"USW00013904","2014-02-14","58"
"USW00013904","2014-02-15","55"
"USW00013904","2014-02-16","62"
"USW00013904","2014-02-17","67"
"USW00013904","2014-02-18","63"
"USW00013904","2014-02-19","67"
"USW00013904","2014-02-20","71"
"USW00013904","2014-02-21","55"
"USW00013904","2014-02-22","54"
"USW00013904","2014-02-23","69"
"USW00013904","2014-02-24","63"
"USW00013904","2014-02-25","65"
"USW00013904","2014-02-26","45"
"USW00013904","2014-02-27","38"
"USW00013904","2014-02-28","52"
"USW00013904","2014-03-01","60"
"USW00013904","2014-03-02","61"
"USW00013904","2014-03-03","31"
"USW00013904","2014-03-04","36"
"USW00013904","2014-03-05","43"
"USW00013904","2014-03-06","50"
"USW00013904","2014-03-07","48"
"USW00013904","2014-03-08","56"
"USW00013904","2014-03-09","46"
"USW00013904","2014-03-10","57"
"USW00013904","2014-03-11","63"
"USW00013904","2014-03-12","61"
"USW00013904","2014-03-13","50"
"USW00013904","2014-03-14","56"
"USW00013904","2014-03-15","66"
"USW00013904","2014-03-16","61"
"USW00013904","2014-03-17","53"
"USW00013904","2014-03-18","58"
"USW00013904","2014-03-19","63"
"USW00013904","2014-03-20","55"
"USW00013904","2014-03-21","61"
"USW00013904","2014-03-22","69"
"USW00013904","2014-03-23","60"
"USW00013904","2014-03-24","54"
"USW00013904","2014-03-25","54"
"USW00013904","2014-03-26","58"
"USW00013904","2014-03-27","67"
"USW00013904","2014-03-28","74"
"USW00013904","2014-03-29","65"
"USW00013904","2014-03-30","59"
"USW00013904","2014-03-31","68"
"USW00013904","2014-04-01","74"
"USW00013904","2014-04-02","76"
"USW00013904","2014-04-03","76"
"USW00013904","2014-04-04","67"
"USW00013904","2014-04-05","58"
"USW00013904","2014-04-06","57"
"USW00013904","2014-04-07","58"
"USW00013904","2014-04-08","60"
"USW00013904","2014-04-09","59"
"USW00013904","2014-04-10","68"
"USW00013904","2014-04-11","70"
"USW00013904","2014-04-12","73"
"USW00013904","2014-04-13","73"
"USW00013904","2014-04-14","64"
"USW00013904","2014-04-15","51"
"USW00013904","2014-04-16","51"
"USW00013904","2014-04-17","60"
"USW00013904","2014-04-18","65"
"USW00013904","2014-04-19","64"
"USW00013904","2014-04-20","67"
"USW00013904","2014-04-21","71"
"USW00013904","2014-04-22","74"
"USW00013904","2014-04-23","70"
"USW00013904","2014-04-24","74"
"USW00013904","2014-04-25","72"
"USW00013904","2014-04-26","74"
"USW00013904","2014-04-27","80"
"USW00013904","2014-04-28","81"
"USW00013904","2014-04-29","71"
"USW00013904","2014-04-30","65"
"USW00013904","2014-05-01","61"
"USW00013904","2014-05-02","65"
"USW00013904","2014-05-03","72"
"USW00013904","2014-05-04","73"
"USW00013904","2014-05-05","72"
"USW00013904","2014-05-06","73"
"USW00013904","2014-05-07","76"
"USW00013904","2014-05-08","77"
"USW00013904","2014-05-09","77"
"USW00013904","2014-05-10","71"
"USW00013904","2014-05-11","80"
"USW00013904","2014-05-12","79"
"USW00013904","2014-05-13","64"
"USW00013904","2014-05-14","62"
"USW00013904","2014-05-15","62"
"USW00013904","2014-05-16","71"
"USW00013904","2014-05-17","71"
"USW00013904","2014-05-18","71"
"USW00013904","2014-05-19","74"
"USW00013904","2014-05-20","76"
"USW00013904","2014-05-21","78"
"USW00013904","2014-05-22","77"
"USW00013904","2014-05-23","76"
"USW00013904","2014-05-24","76"
"USW00013904","2014-05-25","78"
"USW00013904","2014-05-26","73"
"USW00013904","2014-05-27","67"
"USW00013904","2014-05-28","74"
"USW00013904","2014-05-29","75"
"USW00013904","2014-05-30","78"
"USW00013904","2014-05-31","80"
"USW00013904","2014-06-01","78"
"USW00013904","2014-06-02","80"
"USW00013904","2014-06-03","81"
"USW00013904","2014-06-04","80"
"USW00013904","2014-06-05","81"
"USW00013904","2014-06-06","81"
"USW00013904","2014-06-07","81"
"USW00013904","2014-06-08","82"
"USW00013904","2014-06-09","80"
"USW00013904","2014-06-10","77"
"USW00013904","2014-06-11","78"
"USW00013904","2014-06-12","84"
"USW00013904","2014-06-13","79"
"USW00013904","2014-06-14","80"
"USW00013904","2014-06-15","83"
"USW00013904","2014-06-16","83"
"USW00013904","2014-06-17","84"
"USW00013904","2014-06-18","83"
"USW00013904","2014-06-19","83"
"USW00013904","2014-06-20","81"
"USW00013904","2014-06-21","82"
"USW00013904","2014-06-22","82"
"USW00013904","2014-06-23","80"
"USW00013904","2014-06-24","81"
"USW00013904","2014-06-25","79"
"USW00013904","2014-06-26","77"
"USW00013904","2014-06-27","80"
"USW00013904","2014-06-28","83"
"USW00013904","2014-06-29","85"
"USW00013904","2014-06-30","85"
"USW00013904","2014-07-01","84"
"USW00013904","2014-07-02","82"
"USW00013904","2014-07-03","82"
"USW00013904","2014-07-04","77"
"USW00013904","2014-07-05","78"
"USW00013904","2014-07-06","79"
"USW00013904","2014-07-07","83"
"USW00013904","2014-07-08","83"
"USW00013904","2014-07-09","83"
"USW00013904","2014-07-10","81"
"USW00013904","2014-07-11","79"
"USW00013904","2014-07-12","81"
"USW00013904","2014-07-13","85"
"USW00013904","2014-07-14","85"
"USW00013904","2014-07-15","83"
"USW00013904","2014-07-16","81"
"USW00013904","2014-07-17","82"
"USW00013904","2014-07-18","77"
"USW00013904","2014-07-19","76"
"USW00013904","2014-07-20","81"
"USW00013904","2014-07-21","85"
"USW00013904","2014-07-22","85"
"USW00013904","2014-07-23","85"
"USW00013904","2014-07-24","83"
"USW00013904","2014-07-25","84"
"USW00013904","2014-07-26","86"
"USW00013904","2014-07-27","86"
"USW00013904","2014-07-28","86"
"USW00013904","2014-07-29","85"
"USW00013904","2014-07-30","83"
"USW00013904","2014-07-31","85"
"USW00013904","2014-08-01","83"
"USW00013904","2014-08-02","78"
"USW00013904","2014-08-03","79"
"USW00013904","2014-08-04","82"
"USW00013904","2014-08-05","82"
"USW00013904","2014-08-06","85"
"USW00013904","2014-08-07","87"
"USW00013904","2014-08-08","88"
"USW00013904","2014-08-09","87"
"USW00013904","2014-08-10","89"
"USW00013904","2014-08-11","87"
"USW00013904","2014-08-12","84"
"USW00013904","2014-08-13","83"
"USW00013904","2014-08-14","82"
"USW00013904","2014-08-15","86"
"USW00013904","2014-08-16","87"
"USW00013904","2014-08-17","88"
"USW00013904","2014-08-18","88"
"USW00013904","2014-08-19","86"
"USW00013904","2014-08-20","88"
"USW00013904","2014-08-21","89"
"USW00013904","2014-08-22","89"
"USW00013904","2014-08-23","86"
"USW00013904","2014-08-24","87"
"USW00013904","2014-08-25","87"
"USW00013904","2014-08-26","87"
"USW00013904","2014-08-27","84"
"USW00013904","2014-08-28","83"
"USW00013904","2014-08-29","83"
"USW00013904","2014-08-30","81"
"USW00013904","2014-08-31","83"
"USW00013904","2014-09-01","86"
"USW00013904","2014-09-02","85"
"USW00013904","2014-09-03","85"
"USW00013904","2014-09-04","82"
"USW00013904","2014-09-05","83"
"USW00013904","2014-09-06","82"
"USW00013904","2014-09-07","81"
"USW00013904","2014-09-08","80"
"USW00013904","2014-09-09","83"
"USW00013904","2014-09-10","86"
"USW00013904","2014-09-11","86"
"USW00013904","2014-09-12","83"
"USW00013904","2014-09-13","65"
"USW00013904","2014-09-14","68"
"USW00013904","2014-09-15","75"
"USW00013904","2014-09-16","82"
"USW00013904","2014-09-17","79"
"USW00013904","2014-09-18","80"
"USW00013904","2014-09-19","78"
"USW00013904","2014-09-20","79"
"USW00013904","2014-09-21","80"
"USW00013904","2014-09-22","78"
"USW00013904","2014-09-23","76"
"USW00013904","2014-09-24","70"
"USW00013904","2014-09-25","71"
"USW00013904","2014-09-26","74"
"USW00013904","2014-09-27","75"
"USW00013904","2014-09-28","72"
"USW00013904","2014-09-29","75"
"USW00013904","2014-09-30","75"
"USW00013904","2014-10-01","81"
"USW00013904","2014-10-02","84"
"USW00013904","2014-10-03","76"
"USW00013904","2014-10-04","65"
"USW00013904","2014-10-05","68"
"USW00013904","2014-10-06","78"
"USW00013904","2014-10-07","78"
"USW00013904","2014-10-08","80"
"USW00013904","2014-10-09","81"
"USW00013904","2014-10-10","81"
"USW00013904","2014-10-11","71"
"USW00013904","2014-10-12","65"
"USW00013904","2014-10-13","74"
"USW00013904","2014-10-14","65"
"USW00013904","2014-10-15","65"
"USW00013904","2014-10-16","67"
"USW00013904","2014-10-17","69"
"USW00013904","2014-10-18","71"
"USW00013904","2014-10-19","70"
"USW00013904","2014-10-20","68"
"USW00013904","2014-10-21","67"
"USW00013904","2014-10-22","67"
"USW00013904","2014-10-23","72"
"USW00013904","2014-10-24","68"
"USW00013904","2014-10-25","70"
"USW00013904","2014-10-26","69"
"USW00013904","2014-10-27","71"
"USW00013904","2014-10-28","71"
"USW00013904","2014-10-29","71"
"USW00013904","2014-10-30","67"
"USW00013904","2014-10-31","67"
"USW00013904","2014-11-01","55"
"USW00013904","2014-11-02","55"
"USW00013904","2014-11-03","66"
"USW00013904","2014-11-04","73"
"USW00013904","2014-11-05","58"
"USW00013904","2014-11-06","58"
"USW00013904","2014-11-07","59"
"USW00013904","2014-11-08","57"
"USW00013904","2014-11-09","57"
"USW00013904","2014-11-10","58"
