"STATION","DATE","TOBS"
"USC00410433","2014-06-07","73"
"USC00410433","2014-06-08","74"
"USC00410433","2014-06-09","75"
"USC00410433","2014-06-10","60"
"USC00410433","2014-06-11","64"
"USC00410433","2014-06-12","76"
"USC00410433","2014-06-13","68"
"USC00410433","2014-06-14","73"
"USC00410433","2014-06-15","74"
"USC00410433","2014-06-16","75"
"USC00410433","2014-06-17","75"
"USC00410433","2014-06-18","76"
"USC00410433","2014-06-19","75"
"USC00410433","2014-06-20","74"
"USC00410433","2014-06-21","75"
"USC00410433","2014-06-22","76"
"USC00410433","2014-06-23","75"
"USC00410433","2014-06-24","73"
"USC00410433","2014-06-25","76"
"USC00410433","2014-06-26","70"
"USC00410433","2014-06-27","73"
"USC00410433","2014-06-28","75"
"USC00410433","2014-06-29","75"
"USC00410433","2014-06-30","75"
"USC00410433","2014-07-01","74"
"USC00410433","2014-07-02","72"
"USC00410433","2014-07-03","71"
"USC00410433","2014-07-04","70"
"USC00410433","2014-07-05","67"
"USC00410433","2014-07-06","72"
"USC00410433","2014-07-07","72"
"USC00410433","2014-07-08","73"
"USC00410433","2014-07-09","73"
"USC00410433","2014-07-10","70"
"USC00410433","2014-07-11","70"
"USC00410433","2014-07-12","69"
"USC00410433","2014-07-13","72"
"USC00410433","2014-07-14","73"
"USC00410433","2014-07-15","75"
"USC00410433","2014-07-16","71"
"USC00410433","2014-07-17","76"
"USC00410433","2014-07-18","71"
"USC00410433","2014-07-19","68"
"USC00410433","2014-07-20","72"
"USC00410433","2014-07-21","75"
"USC00410433","2014-07-22","75"
"USC00410433","2014-07-23","73"
"USC00410433","2014-07-24","75"
"USC00410433","2014-07-25","72"
"USC00410433","2014-07-26","76"
"USC00410433","2014-07-27","74"
"USC00410433","2014-07-28","73"
"USC00410433","2014-07-29","72"
"USC00410433","2014-07-30","75"
"USC00410433","2014-07-31","76"
"USC00410433","2014-08-01","70"
"USC00410433","2014-08-02","66"
"USC00410433","2014-08-03","69"
"USC00410433","2014-08-04","72"
"USC00410433","2014-08-05","70"
"USC00410433","2014-08-06","74"
"USC00410433","2014-08-07","76"
"USC00410433","2014-08-08","76"
"USC00410433","2014-08-09","75"
"USC00410433","2014-08-10","76"
"USC00410433","2014-08-11","75"
"USC00410433","2014-08-12","70"
"USC00410433","2014-08-13","68"
"USC00410433","2014-08-14","67"
"USC00410433","2014-08-15","72"
"USC00410433","2014-08-16","76"
"USC00410433","2014-08-17","77"
"USC00410433","2014-08-18","76"
"USC00410433","2014-08-19","75"
"USC00410433","2014-08-20","77"
"USC00410433","2014-08-21","78"
"USC00410433","2014-08-22","76"
"USC00410433","2014-08-23","73"
"USC00410433","2014-08-24","75"
"USC00410433","2014-08-25","75"
"USC00410433","2014-08-26","73"
"USC00410433","2014-08-27","72"
"USC00410433","2014-08-28","72"
"USC00410433","2014-08-29","76"
"USC00410433","2014-08-30","72"
"USC00410433","2014-08-31","73"
"USC00410433","2014-09-01","76"
"USC00410433","2014-09-02","77"
"USC00410433","2014-09-03","75"
"USC00410433","2014-09-04","76"
"USC00410433","2014-09-05","75"
"USC00410433","2014-09-06","72"
"USC00410433","2014-09-07","72"
"USC00410433","2014-09-08","69"
"USC00410433","2014-09-09","73"
"USC00410433","2014-09-10","75"
"USC00410433","2014-09-11","76"
"USC00410433","2014-09-12","73"
"USC00410433","2014-09-13","58"
"USC00410433","2014-09-14","62"
"USC00410433","2014-09-15","67"
"USC00410433","2014-09-16","72"
"USC00410433","2014-09-17","72"
"USC00410433","2014-09-18","71"
"USC00410433","2014-09-19","72"
"USC00410433","2014-09-20","73"
"USC00410433","2014-09-21","70"
"USC00410433","2014-09-22","66"
"USC00410433","2014-09-23","63"
"USC00410433","2014-09-24","57"
"USC00410433","2014-09-25","60"
"USC00410433","2014-09-26","65"
"USC00410433","2014-09-27","68"
"USC00410433","2014-09-28","64"
"USC00410433","2014-09-29","65"
"USC00410433","2014-09-30","63"
"USC00410433","2014-10-01","74"
"USC00410433","2014-10-02","76"
"USC00410433","2014-10-03","63"
"USC00410433","2014-10-04","57"
"USC00410433","2014-10-05","63"
"USC00410433","2014-10-06","72"
"USC00410433","2014-10-07","71"
"USC00410433","2014-10-08","72"
"USC00410433","2014-10-09","73"
"USC00410433","2014-10-10","73"
"USC00410433","2014-10-11","63"
"USC00410433","2014-10-12","60"
"USC00410433","2014-10-13","68"
"USC00410433","2014-10-14","51"
"USC00410433","2014-10-15","52"
"USC00410433","2014-10-16","56"
"USC00410433","2014-10-17","60"
"USC00410433","2014-10-18","68"
"USC00410433","2014-10-19","63"
